date,store_number,store_name,city,county,sales
2022-01-23,2571,Hy-Vee Food Store #2 / Waterloo,Waterloo,BLACK HAWK,16611.17
2022-01-30,2571,Hy-Vee Food Store #2 / Waterloo,Waterloo,BLACK HAWK,8376.23
2022-02-06,2571,Hy-Vee Food Store #2 / Waterloo,Waterloo,BLACK HAWK,15589.14
2022-01-09,2538,Hy-Vee Food Store #3 / Waterloo,Waterloo,BLACK HAWK,35690.94
2022-01-16,2538,Hy-Vee Food Store #3 / Waterloo,Waterloo,BLACK HAWK,14075.29
2022-01-23,2538,Hy-Vee Food Store #3 / Waterloo,Waterloo,BLACK HAWK,19447.97
2022-01-30,2538,Hy-Vee Food Store #3 / Waterloo,Waterloo,BLACK HAWK,17813.99
2022-02-06,2538,Hy-Vee Food Store #3 / Waterloo,Waterloo,BLACK HAWK,15737.69
2022-01-09,2643,Hy-Vee Wine and Spirits / Waterloo,Waterloo,BLACK HAWK,15422.65
2022-01-16,2643,Hy-Vee Wine and Spirits / Waterloo,Waterloo,BLACK HAWK,5111.71
2022-01-23,2643,Hy-Vee Wine and Spirits / Waterloo,Waterloo,BLACK HAWK,8651.67
2022-01-30,2643,Hy-Vee Wine and Spirits / Waterloo,Waterloo,BLACK HAWK,19710.81
2022-02-06,2643,Hy-Vee Wine and Spirits / Waterloo,Waterloo,BLACK HAWK,11164.86
2022-01-09,2635,Hy-Vee #4 / Davenport,Davenport,SCOTT,17661.14
2022-01-16,2635,Hy-Vee #4 / Davenport,Davenport,SCOTT,47068.09
2022-01-23,2635,Hy-Vee #4 / Davenport,Davenport,SCOTT,17165.32
2022-01-30,2635,Hy-Vee #4 / Davenport,Davenport,SCOTT,21821.57
2022-02-06,2635,Hy-Vee #4 / Davenport,Davenport,SCOTT,18236.38
2022-01-09,2637,Hy-Vee #5 / Davenport,Davenport,SCOTT,16043.48
2022-01-16,2637,Hy-Vee #5 / Davenport,Davenport,SCOTT,16535.0
2022-01-23,2637,Hy-Vee #5 / Davenport,Davenport,SCOTT,16066.96
2022-01-30,2637,Hy-Vee #5 / Davenport,Davenport,SCOTT,12546.72
2022-02-06,2637,Hy-Vee #5 / Davenport,Davenport,SCOTT,14758.35
2022-01-09,3354,Sam's Club 8238 / Davenport,Davenport,SCOTT,66370.2
2022-01-16,3354,Sam's Club 8238 / Davenport,Davenport,SCOTT,22129.8
2022-01-23,3354,Sam's Club 8238 / Davenport,Davenport,SCOTT,27522.0
2022-01-30,3354,Sam's Club 8238 / Davenport,Davenport,SCOTT,24122.28
2022-02-06,3354,Sam's Club 8238 / Davenport,Davenport,SCOTT,26609.28
2022-01-09,2625,Hy-Vee Wine & Spirits #2 / Davenport,Davenport,SCOTT,30429.2
2022-01-16,2625,Hy-Vee Wine & Spirits #2 / Davenport,Davenport,SCOTT,21190.48
2022-01-23,2625,Hy-Vee Wine & Spirits #2 / Davenport,Davenport,SCOTT,27033.91
2022-01-30,2625,Hy-Vee Wine & Spirits #2 / Davenport,Davenport,SCOTT,44436.58
2022-02-06,2625,Hy-Vee Wine & Spirits #2 / Davenport,Davenport,SCOTT,26959.85
2022-01-09,2614,Hy-Vee #3 Food & Drugstore / Davenport,Davenport,SCOTT,33758.37
2022-01-16,2614,Hy-Vee #3 Food & Drugstore / Davenport,Davenport,SCOTT,26393.14
2022-01-23,2614,Hy-Vee #3 Food & Drugstore / Davenport,Davenport,SCOTT,19180.96
2022-01-30,2614,Hy-Vee #3 Food & Drugstore / Davenport,Davenport,SCOTT,24224.44
2022-02-06,2614,Hy-Vee #3 Food & Drugstore / Davenport,Davenport,SCOTT,37426.37
2022-01-09,2549,Hy-Vee Food Store / Indianola,Indianola,WARREN,11963.24
2022-01-16,2549,Hy-Vee Food Store / Indianola,Indianola,WARREN,19701.78
2022-01-23,2549,Hy-Vee Food Store / Indianola,Indianola,WARREN,19419.27
